t,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,correct
61,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,3,3,1,3,2,4,2,2,1,1,3,1,718,516,468,642,173,828,689,681,918,788,915,1019,885,1330,2
62,2,2,2,2,2,1,2,1,2,2,2,2,1,2,3,4,3,3,1,2,3,2,3,1,2,1,1,2,1038,437,484,554,141,780,529,1017,1814,876,843,650,1190,625,2
63,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,3,1,-1,2,2,2,1,3,2,3,3,694,549,716,570,133,1212,1033,481,1046,852,987,1042,1013,338,2
64,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,3,3,1,4,3,4,4,1,2,2,4,2,638,477,836,710,1221,515,649,673,830,1180,716,826,861,954,1
65,1,2,-1,2,2,1,2,1,2,2,2,-1,-1,2,1,2,2,3,2,4,1,1,3,1,2,1,1,2,879,516,0,742,5,539,1545,1425,1670,1332,1060,0,0,842,1
66,2,2,1,1,1,1,2,2,2,2,2,1,2,2,3,2,2,2,-1,4,2,1,4,2,2,2,3,3,599,780,1819,702,366,699,769,1680,862,908,1555,914,573,849,1
67,2,2,2,2,2,1,1,1,1,2,2,-1,2,2,3,3,3,3,2,3,2,2,3,2,2,-1,3,4,655,412,268,641,13,1051,1089,616,1070,780,891,0,565,577,1
68,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,3,2,4,3,2,4,2,1,1,2,3,3,454,476,828,1070,157,780,561,673,1174,692,827,331,1513,977,2
69,2,2,2,1,1,2,2,1,2,2,2,1,1,2,3,4,4,2,4,4,1,2,2,2,2,2,4,2,710,421,948,534,37,700,793,817,1358,748,1019,1531,454,1545,2
70,1,2,2,1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,4,2,1,3,2,1,2,2,1,990,557,956,1122,0,460,1153,825,1534,676,1172,978,1117,818,1
71,2,1,1,1,1,2,1,2,1,1,1,-1,2,2,3,3,2,3,1,2,2,2,2,1,1,-1,3,1,982,533,500,898,93,939,609,809,1534,1492,860,0,217,850,1
72,2,2,1,1,1,1,1,2,1,2,2,1,1,2,3,2,1,3,2,4,2,-1,2,2,-1,2,-1,1,1214,588,371,658,94,715,1073,784,1118,748,604,706,1261,1098,1
73,1,2,2,1,1,1,2,1,1,2,1,1,2,2,2,3,2,3,1,4,2,2,-1,2,1,2,3,1,575,588,764,267,22,555,761,592,1286,692,1011,954,577,993,1
74,2,2,2,1,1,2,2,1,2,2,2,1,2,2,3,3,2,2,1,4,4,2,4,3,3,2,3,3,783,348,1092,1214,725,587,537,945,726,868,747,1003,1141,1217,2
75,1,1,2,1,1,1,2,1,-1,1,1,1,1,2,3,2,3,2,4,4,2,4,1,2,2,-1,1,1,375,501,1204,1410,1821,508,1050,649,0,1157,1131,779,697,505,1
76,2,1,2,2,1,2,2,1,1,2,1,1,1,2,3,3,3,2,1,3,3,3,4,2,1,2,3,3,806,589,364,1546,709,444,649,649,806,748,883,1283,146,489,2
77,1,1,2,2,2,1,1,1,2,2,2,1,2,1,3,2,2,2,2,3,3,3,2,2,1,2,4,2,806,917,1596,1214,1389,547,465,929,806,1676,1084,82,917,722,1
78,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,3,3,2,2,3,3,3,3,1,2,2,1,3,582,540,411,966,333,483,369,657,742,1220,1228,1754,793,1314,1
79,1,1,2,1,2,1,2,1,2,1,2,2,1,1,3,-1,3,2,1,3,1,3,3,2,2,2,3,3,430,444,891,854,30,587,1777,776,1326,1124,795,1690,933,890,1
80,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,3,2,2,3,1,2,3,1,2,583,604,1076,967,222,843,753,744,710,1268,1115,818,793,785,1
81,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,3,2,1,3,2,3,2,2,2,2,3,1,631,580,1148,1094,261,628,1089,689,742,748,1307,1714,713,849,2
82,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,4,3,2,1,4,2,3,3,1,1,2,2,1,447,413,956,702,141,628,1338,473,1086,1228,1427,611,1057,817,1
83,2,2,2,2,2,2,2,2,1,1,2,-1,2,2,3,2,1,3,1,4,3,3,3,1,3,-1,2,3,654,445,1108,494,197,724,649,753,1502,1612,620,0,938,801,2
84,1,1,1,2,2,1,2,1,1,1,2,1,2,2,3,2,2,3,2,2,3,2,3,1,2,2,3,2,846,389,980,1006,293,707,729,609,1422,716,628,922,514,642,2
85,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,3,-1,4,2,2,2,1,1,3,3,2,526,508,611,654,309,507,993,561,1182,532,684,778,1169,1066,2
86,1,1,1,1,1,1,1,2,2,2,1,1,2,1,3,2,1,3,1,4,2,4,3,3,1,3,2,3,1294,484,1164,630,526,539,993,928,886,508,1275,850,1329,914,1
87,2,2,2,2,2,2,1,1,1,2,2,2,1,2,3,3,2,3,1,2,1,2,2,1,2,1,3,3,534,436,636,702,190,347,761,689,934,1076,1211,938,217,489,2
88,2,2,2,2,1,2,2,1,1,2,2,2,1,-1,2,4,2,3,2,2,2,2,3,1,2,3,3,4,879,484,892,1190,13,492,417,513,910,1908,1283,890,657,0,2
89,2,1,2,2,1,2,2,1,2,1,2,2,2,-1,2,2,2,2,1,3,3,2,3,2,2,2,2,3,695,437,388,1254,157,700,578,561,734,581,611,1187,593,0,2
90,2,2,2,2,1,1,2,1,2,1,1,1,2,1,1,3,2,2,1,3,3,2,3,1,2,2,2,1,1386,432,1192,555,429,319,477,464,806,644,803,686,745,1041,2
91,2,2,2,2,1,2,2,1,1,1,2,2,1,-1,3,3,2,3,2,4,3,3,3,2,3,2,3,2,523,432,424,450,37,360,509,777,1094,676,603,622,673,0,2
92,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,3,2,3,2,3,3,3,4,1,3,-1,2,3,683,385,1312,594,1285,520,510,761,990,1044,676,759,929,801,2
